timestamp,count,bicycle,car,motorcycle,bus,train,truck,total_detections
1756891503.218179,324,0,10,0,2,0,0,12
1756891503.4601119,324,0,9,0,2,0,0,11
1756891503.7171688,324,0,9,0,2,0,0,11
1756891504.021409,324,0,9,0,2,0,0,11
1756891504.265671,324,0,10,0,2,0,0,12
1756891504.653388,324,0,10,0,2,0,0,12
1756891504.908583,324,0,10,0,2,0,0,12
1756891505.153603,324,0,10,0,2,0,0,12
1756891505.4380229,324,0,10,0,2,0,0,12
1756891505.668195,324,0,10,0,2,0,0,12
1756891505.9002528,324,0,10,0,2,0,0,12
1756891506.102774,324,0,10,0,2,0,0,12
1756891506.316857,324,0,10,0,2,0,0,12
1756891506.54817,324,0,9,0,2,0,0,11
1756891506.793826,324,0,9,0,2,0,0,11
1756891506.998444,324,0,8,0,2,0,0,10
1756891507.193675,324,0,9,0,2,0,0,11
1756891507.3958678,324,0,8,0,2,0,0,10
1756891507.6034298,324,0,8,0,2,0,0,10
1756891507.7998679,325,0,8,0,2,0,0,10
1756891508.008727,326,0,8,0,2,0,1,11
1756891508.20327,327,0,9,0,2,0,0,11
1756891508.401412,328,0,9,0,2,0,0,11
1756891508.600424,329,0,9,0,2,0,0,11
1756891508.833486,330,0,9,0,2,0,0,11
1756891509.093585,331,0,8,0,2,0,0,10
1756891509.298974,332,0,8,0,2,0,0,10
1756891509.499692,333,0,8,0,2,0,0,10
1756891509.697502,334,0,8,0,2,0,0,10
1756891509.8938649,335,0,8,0,2,0,0,10
1756891510.0950139,336,0,8,0,1,0,0,9
1756891510.294361,337,0,8,0,2,0,0,10
1756891510.495539,338,0,9,0,2,0,0,11
1756891510.696011,339,0,8,0,2,0,0,10
1756891510.9234471,339,0,8,0,2,0,0,10
1756891511.129344,339,0,8,0,2,0,0,10
1756891511.336464,339,0,8,0,2,0,1,11
1756891511.536958,340,0,9,0,2,0,2,13
1756891511.734049,341,0,9,0,2,0,1,12
1756891511.933224,341,0,8,0,2,0,1,11
1756891512.132291,342,0,9,0,2,0,1,12
1756891512.333194,343,0,10,0,2,0,0,12
1756891512.5376,344,0,9,0,2,0,1,12
1756891512.7340548,345,0,9,0,2,0,0,11
1756891512.9686668,345,0,9,0,2,0,2,13
1756891513.1721501,345,0,9,0,1,0,2,12
1756891513.378026,345,0,9,0,1,0,1,11
1756891513.576533,345,0,10,0,1,0,1,12
1756891513.77776,345,0,10,0,1,0,1,12
1756891513.977998,345,0,9,0,1,0,1,11
1756891514.173784,345,0,9,0,1,0,1,11
1756891514.423693,345,0,9,0,2,0,0,11
1756891514.625577,345,0,8,0,1,0,1,10
1756891514.821141,345,0,9,0,2,0,0,11
1756891515.0548658,345,0,9,0,1,0,1,11
1756891515.2609658,345,0,9,0,2,0,0,11
1756891515.469592,345,0,9,0,1,0,1,11
1756891515.6677089,345,0,9,0,1,0,1,11
1756891515.866863,345,0,9,0,1,0,0,10
1756891516.068379,345,0,9,0,1,0,1,11
1756891516.265523,345,0,8,0,1,0,1,10
1756891516.4648268,345,0,10,0,1,0,1,12
1756891516.660307,345,0,9,0,1,0,1,11
1756891516.8593438,346,0,9,0,1,0,1,11
1756891517.088104,347,0,9,0,1,0,1,11
1756891517.2934232,348,0,9,0,1,0,1,11
1756891517.502342,349,0,9,0,1,0,1,11
1756891517.70795,350,0,10,0,1,0,1,12
1756891517.905714,351,0,10,0,1,0,1,12
1756891518.106718,352,0,10,0,1,0,0,11
1756891518.304645,353,0,10,0,2,0,0,12
1756891518.507009,355,0,13,0,2,0,4,19
1756891518.701916,356,0,10,0,1,0,1,12
1756891518.914925,358,0,10,0,2,0,1,13
1756891519.16743,360,0,10,0,2,0,1,13
1756891519.3907719,362,0,10,0,1,0,1,12
1756891519.662764,364,0,9,0,1,0,1,11
1756891519.883562,366,0,8,0,1,0,1,10
1756891520.086931,368,0,9,0,1,0,2,12
1756891520.2925792,370,0,9,0,1,0,2,12
1756891520.491468,372,0,9,0,1,0,1,11
1756891520.6877959,373,0,9,0,1,0,1,11
1756891520.894428,374,0,10,0,1,0,1,12
1756891521.1343071,375,0,10,0,1,0,3,14
1756891521.357578,376,0,9,0,1,0,3,13
1756891521.5655968,377,0,8,0,1,0,3,12
1756891521.780328,378,0,9,0,1,0,1,11
1756891522.063236,379,0,9,0,1,0,1,11
1756891522.2721548,380,0,10,0,1,0,1,12
1756891522.470668,381,0,9,0,1,0,1,11
1756891522.670388,382,0,9,0,1,0,1,11
1756891522.90317,383,0,9,0,1,0,1,11
1756891523.199334,384,0,10,0,1,0,1,12
1756891523.431186,385,0,10,0,1,0,2,13
1756891523.632619,386,0,10,0,1,0,1,12
1756891523.831676,386,0,9,0,1,0,1,11
1756891524.04219,386,0,10,0,1,0,2,13
1756891524.245569,386,0,9,0,1,0,1,11
1756891524.447786,386,0,10,0,1,0,1,12
1756891524.651595,386,0,10,0,1,0,1,12
1756891524.852299,386,0,10,0,1,0,1,12
1756891525.1347861,386,0,10,0,1,0,1,12
1756891525.373774,386,0,10,0,1,0,1,12
1756891525.5833158,386,0,10,0,1,0,1,12
1756891525.787311,386,0,10,0,1,0,1,12
1756891526.0474188,386,0,10,0,1,0,1,12
1756891526.243343,386,0,10,0,1,0,2,13
1756891526.454659,386,0,10,0,1,0,1,12
1756891526.653384,386,0,9,0,1,0,1,11
1756891526.856958,386,0,9,0,1,0,1,11
1756891527.062826,386,0,9,0,1,0,1,11
1756891527.25666,386,0,9,0,1,0,1,11
1756891527.496769,386,0,10,0,1,0,1,12
1756891527.706076,386,0,9,0,1,0,1,11
1756891527.901282,386,0,9,0,1,0,1,11
1756891528.10197,386,0,8,0,1,0,1,10
1756891528.3007019,386,0,8,0,1,0,1,10
1756891528.50194,386,0,7,0,2,0,1,10
1756891528.698672,386,0,9,0,2,0,1,12
1756891528.897172,386,0,9,0,1,0,1,11
1756891529.099093,386,0,9,0,1,0,1,11
1756891529.296793,386,0,7,0,1,0,1,9
1756891529.533053,386,0,10,0,1,0,1,12
1756891529.736755,386,0,10,0,2,0,1,13
1756891529.934377,386,0,10,0,1,0,1,12
1756891530.154557,386,0,10,0,1,0,1,12
1756891530.3540301,386,0,11,0,1,0,1,13
1756891530.559263,386,0,10,0,1,0,1,12
1756891530.752655,386,0,10,0,1,0,1,12
1756891530.956722,386,0,10,0,1,0,1,12
1756891531.180392,386,0,11,0,1,0,1,13
1756891531.376589,386,0,10,0,1,0,1,12
1756891531.623677,386,0,10,0,1,0,1,12
1756891531.8291898,386,0,10,0,1,0,1,12
1756891532.063851,386,0,9,0,1,0,1,11
1756891532.262938,386,0,9,0,1,0,1,11
1756891532.4627242,386,0,10,0,1,0,1,12
1756891532.664132,386,0,10,0,1,0,1,12
1756891532.860887,386,0,9,0,1,0,1,11
1756891533.065635,386,0,10,0,1,0,1,12
1756891533.283756,386,0,11,0,1,0,1,13
1756891533.5042078,386,0,11,0,1,0,1,13
1756891533.7415879,386,0,11,0,1,0,1,13
1756891533.960663,386,0,12,0,1,0,1,14
1756891534.267956,386,0,11,0,1,0,1,13
1756891534.504085,386,0,10,0,1,0,1,12
1756891534.74387,386,0,10,0,1,0,1,12
1756891534.97633,386,0,9,0,1,0,1,11
1756891535.2295308,387,0,10,0,1,0,1,12
1756891535.53215,388,0,10,0,1,0,1,12
1756891535.921803,389,0,8,0,1,0,1,10
1756891536.1448488,390,0,8,0,1,0,1,10
1756891536.386595,391,0,9,0,1,0,1,11
1756891536.686412,392,0,10,0,1,0,1,12
1756891536.9181771,393,0,9,0,1,0,1,11
1756891537.209435,394,0,9,0,1,0,1,11
1756891537.451092,395,0,10,0,1,0,2,13
1756891537.685707,396,0,9,0,1,0,2,12
1756891537.97714,397,0,10,0,1,0,1,12
1756891538.199059,398,0,10,0,1,0,1,12
1756891538.420031,399,0,10,0,1,0,1,12
1756891538.6433148,400,0,11,0,1,0,1,13
1756891538.8676789,401,0,9,0,1,0,1,11
1756891539.09042,402,0,8,0,1,0,1,10
1756891539.343837,403,0,10,0,1,0,1,12
1756891539.571897,404,0,10,0,1,0,1,12
1756891539.799128,405,0,9,0,1,0,1,11
1756891540.071106,406,0,9,0,1,0,1,11
1756891540.294328,407,0,10,0,1,0,1,12
1756891540.5238478,409,0,9,0,1,0,2,12
1756891540.744462,410,0,11,0,1,0,1,13
1756891540.965151,411,0,11,0,1,0,1,13
1756891541.187249,412,0,11,0,1,0,1,13
1756891541.4438899,413,0,10,0,1,0,1,12
1756891541.7692428,414,0,10,0,1,0,1,12
1756891542.10497,415,0,11,0,1,0,1,13
1756891542.354194,416,0,10,0,1,0,2,13
1756891542.5913742,417,0,9,0,1,0,1,11
1756891542.847599,418,0,7,0,1,0,1,9
1756891543.077305,419,0,11,0,1,0,2,14
1756891543.324472,420,0,10,0,1,0,1,12
1756891543.587486,420,0,8,0,1,0,2,11
1756891543.817877,421,0,9,0,1,0,2,12
1756891544.1284711,422,0,9,0,1,0,1,11
1756891544.3509161,423,0,10,0,1,0,1,12
1756891544.6081321,423,0,10,0,1,0,1,12
1756891544.829914,423,0,9,0,1,0,1,11
1756891545.055344,423,0,9,0,1,0,1,11
1756891545.2777238,423,0,10,0,1,0,1,12
1756891545.501486,423,0,9,0,1,0,2,12
1756891545.726263,423,0,10,0,1,0,2,13
1756891546.000347,423,0,9,0,1,0,2,12
1756891546.299358,423,0,9,0,1,0,1,11
1756891546.531977,423,0,8,0,1,0,2,11
1756891546.7704298,423,0,7,0,2,0,2,11
1756891547.0069702,423,0,8,0,2,0,1,11
1756891547.2373052,423,0,8,0,2,0,0,10
1756891547.485544,423,0,8,0,2,0,0,10
1756891547.729834,423,0,7,0,2,0,0,9
1756891547.967592,423,0,7,0,2,0,0,9
1756891548.245883,423,0,9,0,2,0,1,12
1756891548.4736772,423,0,9,0,2,0,1,12
1756891548.783042,423,0,8,0,2,0,0,10
1756891549.0395122,423,0,9,0,2,0,0,11
1756891549.260797,423,0,9,0,2,0,0,11
1756891549.487573,423,0,9,0,2,0,0,11
1756891549.699463,423,0,9,0,1,0,1,11
1756891549.929688,423,0,9,0,1,0,0,10
1756891550.128957,423,0,9,0,2,0,0,11
1756891550.4023051,423,0,9,0,2,0,1,12
1756891550.623776,423,0,9,0,2,0,0,11
1756891550.826305,423,0,9,0,2,0,0,11
1756891551.0287302,423,0,8,0,1,0,0,9
1756891551.229915,423,0,7,0,1,0,1,9
1756891551.445905,423,0,7,0,1,0,2,10
1756891551.651789,423,0,7,0,1,0,2,10
1756891551.865501,423,0,8,0,1,0,2,11
